,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
16,0.311,https://api.spotify.com/v1/audio-analysis/1oC2QXxUl8JtlmZr22qYP8,0.503,262227,0.872,1oC2QXxUl8JtlmZr22qYP8,0.0,2,0.282,-4.192,1,0.101,1,152.364,4,https://api.spotify.com/v1/tracks/1oC2QXxUl8JtlmZr22qYP8,audio_features,spotify:track:1oC2QXxUl8JtlmZr22qYP8,0.531
17,0.0439,https://api.spotify.com/v1/audio-analysis/6W2Ef5Ph6ILTUAedoQ3QIv,0.853,283627,0.811,6W2Ef5Ph6ILTUAedoQ3QIv,0.000304,6,0.0703,-4.926,0,0.0646,1,114.961,4,https://api.spotify.com/v1/tracks/6W2Ef5Ph6ILTUAedoQ3QIv,audio_features,spotify:track:6W2Ef5Ph6ILTUAedoQ3QIv,0.901
18,0.255,https://api.spotify.com/v1/audio-analysis/1Jp9n1uHB72CfK31j4mEPh,0.691,233840,0.389,1Jp9n1uHB72CfK31j4mEPh,0.0,6,0.0981,-10.125,1,0.0653,1,122.219,4,https://api.spotify.com/v1/tracks/1Jp9n1uHB72CfK31j4mEPh,audio_features,spotify:track:1Jp9n1uHB72CfK31j4mEPh,0.437
19,0.0471,https://api.spotify.com/v1/audio-analysis/6mowJOVCvHAfAR5gqMBd2Z,0.778,261493,0.632,6mowJOVCvHAfAR5gqMBd2Z,0.00336,2,0.0403,-5.314,1,0.113,1,97.923,4,https://api.spotify.com/v1/tracks/6mowJOVCvHAfAR5gqMBd2Z,audio_features,spotify:track:6mowJOVCvHAfAR5gqMBd2Z,0.657
20,0.0368,https://api.spotify.com/v1/audio-analysis/2TvdoN9BkZCiBIalvsrNer,0.881,265560,0.827,2TvdoN9BkZCiBIalvsrNer,0.0,7,0.0964,-3.612,1,0.15,1,95.796,4,https://api.spotify.com/v1/tracks/2TvdoN9BkZCiBIalvsrNer,audio_features,spotify:track:2TvdoN9BkZCiBIalvsrNer,0.503
21,0.476,https://api.spotify.com/v1/audio-analysis/0QM7tqGYDPvYbMAwlbEvJD,0.406,254493,0.765,0QM7tqGYDPvYbMAwlbEvJD,0.0,11,0.0492,-6.444,0,0.189,1,101.954,3,https://api.spotify.com/v1/tracks/0QM7tqGYDPvYbMAwlbEvJD,audio_features,spotify:track:0QM7tqGYDPvYbMAwlbEvJD,0.438
22,0.0457,https://api.spotify.com/v1/audio-analysis/2TTINcGQL5UhbHbpsQjYRr,0.69,235667,0.572,2TTINcGQL5UhbHbpsQjYRr,0.0,7,0.0969,-6.131,1,0.0264,1,111.919,4,https://api.spotify.com/v1/tracks/2TTINcGQL5UhbHbpsQjYRr,audio_features,spotify:track:2TTINcGQL5UhbHbpsQjYRr,0.375
23,0.248,https://api.spotify.com/v1/audio-analysis/3goSVuTt3fDYDP6kRnFwuL,0.697,229413,0.467,3goSVuTt3fDYDP6kRnFwuL,0.0,9,0.0941,-7.536,1,0.0715,1,82.081,4,https://api.spotify.com/v1/tracks/3goSVuTt3fDYDP6kRnFwuL,audio_features,spotify:track:3goSVuTt3fDYDP6kRnFwuL,0.572
24,0.323,https://api.spotify.com/v1/audio-analysis/7iu0WYLdo4yksKf3seaxzI,0.637,218947,0.73,7iu0WYLdo4yksKf3seaxzI,0.0,5,0.0981,-5.38,0,0.0874,1,93.867,4,https://api.spotify.com/v1/tracks/7iu0WYLdo4yksKf3seaxzI,audio_features,spotify:track:7iu0WYLdo4yksKf3seaxzI,0.732
25,0.271,https://api.spotify.com/v1/audio-analysis/4PF832BvZOBmAMxeYvOZIa,0.577,245480,0.58,4PF832BvZOBmAMxeYvOZIa,0.0,11,0.242,-7.056,0,0.205,1,125.769,4,https://api.spotify.com/v1/tracks/4PF832BvZOBmAMxeYvOZIa,audio_features,spotify:track:4PF832BvZOBmAMxeYvOZIa,0.474
26,0.287,https://api.spotify.com/v1/audio-analysis/0CmXXEwul09Kf8X68lPA5l,0.613,285667,0.602,0CmXXEwul09Kf8X68lPA5l,0.0,1,0.0705,-6.496,0,0.0497,1,86.328,4,https://api.spotify.com/v1/tracks/0CmXXEwul09Kf8X68lPA5l,audio_features,spotify:track:0CmXXEwul09Kf8X68lPA5l,0.78
27,0.0209,https://api.spotify.com/v1/audio-analysis/7mXcOogtMp4naepUnMxwNQ,0.777,275067,0.835,7mXcOogtMp4naepUnMxwNQ,2e-05,5,0.208,-3.068,0,0.2,1,97.876,4,https://api.spotify.com/v1/tracks/7mXcOogtMp4naepUnMxwNQ,audio_features,spotify:track:7mXcOogtMp4naepUnMxwNQ,0.791
28,0.244,https://api.spotify.com/v1/audio-analysis/7HjJQunSPwkXXVnGeItUEH,0.697,346467,0.447,7HjJQunSPwkXXVnGeItUEH,0.0,4,0.148,-7.498,0,0.0409,1,113.034,4,https://api.spotify.com/v1/tracks/7HjJQunSPwkXXVnGeItUEH,audio_features,spotify:track:7HjJQunSPwkXXVnGeItUEH,0.207
29,0.243,https://api.spotify.com/v1/audio-analysis/77dC7dKzMm65Y9jkJs0Ssd,0.777,270867,0.764,77dC7dKzMm65Y9jkJs0Ssd,0.0,1,0.103,-5.682,1,0.14,1,177.868,4,https://api.spotify.com/v1/tracks/77dC7dKzMm65Y9jkJs0Ssd,audio_features,spotify:track:77dC7dKzMm65Y9jkJs0Ssd,0.174
